Rodzina,Nazwa_Pliku,Algorytm,Liczba_Wierzcholkow,Czas_ms
USA-road-d,USA-road-d.NY.gr,dijkstra,264346,17.4712
USA-road-d,USA-road-d.NY.gr,dial,264346,14.1477
USA-road-d,USA-road-d.NY.gr,radixheap,264346,18.8951
Random4-n,Random4-n.10.0.gr,dijkstra,1024,0.0768398
Random4-n,Random4-n.10.0.gr,dial,1024,0.104863
Random4-n,Random4-n.10.0.gr,radixheap,1024,0.0739187
Random4-n,Random4-n.11.0.gr,dijkstra,2048,0.22851
Random4-n,Random4-n.11.0.gr,dial,2048,0.148061
Random4-n,Random4-n.11.0.gr,radixheap,2048,0.224093
Random4-n,Random4-n.12.0.gr,dijkstra,4096,0.392143
Random4-n,Random4-n.12.0.gr,dial,4096,0.530859
Random4-n,Random4-n.12.0.gr,radixheap,4096,0.371123
Random4-n,Random4-n.13.0.gr,dijkstra,8192,1.21142
Random4-n,Random4-n.13.0.gr,dial,8192,0.781717
Random4-n,Random4-n.13.0.gr,radixheap,8192,0.742903
Random4-n,Random4-n.14.0.gr,dijkstra,16384,3.11505
Random4-n,Random4-n.14.0.gr,dial,16384,2.00972
Random4-n,Random4-n.14.0.gr,radixheap,16384,2.08352
Random4-n,Random4-n.15.0.gr,dijkstra,32768,4.15708
Random4-n,Random4-n.15.0.gr,dial,32768,3.18327
Random4-n,Random4-n.15.0.gr,radixheap,32768,2.8642
Random4-n,Random4-n.16.0.gr,dijkstra,65536,8.59576
Random4-n,Random4-n.16.0.gr,dial,65536,7.0564
Random4-n,Random4-n.16.0.gr,radixheap,65536,5.96312
Random4-n,Random4-n.17.0.gr,dijkstra,131072,17.7165
Random4-n,Random4-n.17.0.gr,dial,131072,15.8664
Random4-n,Random4-n.17.0.gr,radixheap,131072,12.5182
Random4-n,Random4-n.18.0.gr,dijkstra,262144,44.9638
Random4-n,Random4-n.18.0.gr,dial,262144,39.957
Random4-n,Random4-n.18.0.gr,radixheap,262144,29.2537
Random4-n,Random4-n.19.0.gr,dijkstra,524288,102.996
Random4-n,Random4-n.19.0.gr,dial,524288,100.503
Random4-n,Random4-n.19.0.gr,radixheap,524288,74.6444
Random4-n,Random4-n.20.0.gr,dijkstra,1048576,241.058
Random4-n,Random4-n.20.0.gr,dial,1048576,252.581
Random4-n,Random4-n.20.0.gr,radixheap,1048576,174.475
Random4-n,Random4-n.21.0.gr,dijkstra,2097152,594.462
Random4-n,Random4-n.21.0.gr,dial,2097152,505.606
Random4-n,Random4-n.21.0.gr,radixheap,2097152,377.158
Random4-C,Random4-C.0.0.gr,dijkstra,1048576,226.238
Random4-C,Random4-C.0.0.gr,radixheap,1048576,97.9115
Random4-C,Random4-C.1.0.gr,dijkstra,1048576,239.575
Random4-C,Random4-C.1.0.gr,radixheap,1048576,80.8301
Random4-C,Random4-C.10.0.gr,dijkstra,1048576,246.41
Random4-C,Random4-C.10.0.gr,radixheap,1048576,169.395
Random4-C,Random4-C.11.0.gr,dijkstra,1048576,243.71
Random4-C,Random4-C.11.0.gr,radixheap,1048576,179.567
Random4-C,Random4-C.12.0.gr,dijkstra,1048576,245.106
Random4-C,Random4-C.12.0.gr,radixheap,1048576,188.28
Random4-C,Random4-C.13.0.gr,dijkstra,1048576,243.562
Random4-C,Random4-C.13.0.gr,radixheap,1048576,189.949
Random4-C,Random4-C.14.0.gr,dijkstra,1048576,243.72
Random4-C,Random4-C.14.0.gr,radixheap,1048576,202.287
Random4-C,Random4-C.15.0.gr,dijkstra,1048576,241.966
Random4-C,Random4-C.15.0.gr,radixheap,1048576,202.569
Random4-C,Random4-C.2.0.gr,dijkstra,1048576,261.515
Random4-C,Random4-C.2.0.gr,radixheap,1048576,85.7925
Random4-C,Random4-C.3.0.gr,dijkstra,1048576,263.647
Random4-C,Random4-C.3.0.gr,radixheap,1048576,88.6669
Random4-C,Random4-C.4.0.gr,dijkstra,1048576,262.363
Random4-C,Random4-C.4.0.gr,radixheap,1048576,90.6386
Random4-C,Random4-C.5.0.gr,dijkstra,1048576,264.245
Random4-C,Random4-C.5.0.gr,radixheap,1048576,90.5302
Random4-C,Random4-C.6.0.gr,dijkstra,1048576,263.329
Random4-C,Random4-C.6.0.gr,radixheap,1048576,91.1264
Random4-C,Random4-C.7.0.gr,dijkstra,1048576,262.527
Random4-C,Random4-C.7.0.gr,radixheap,1048576,99.7917
Random4-C,Random4-C.8.0.gr,dijkstra,1048576,256.778
Random4-C,Random4-C.8.0.gr,radixheap,1048576,117.374
Random4-C,Random4-C.9.0.gr,dijkstra,1048576,253.399
Random4-C,Random4-C.9.0.gr,radixheap,1048576,145.803
Long-n,Long-n.10.0.gr,dijkstra,1024,0.072165
Long-n,Long-n.10.0.gr,dial,1024,0.113247
Long-n,Long-n.10.0.gr,radixheap,1024,0.071848
Long-n,Long-n.11.0.gr,dijkstra,2048,0.144273
Long-n,Long-n.11.0.gr,dial,2048,0.284593
Long-n,Long-n.11.0.gr,radixheap,2048,0.212887
Long-n,Long-n.12.0.gr,dijkstra,4096,0.269732
Long-n,Long-n.12.0.gr,dial,4096,1.57928
Long-n,Long-n.12.0.gr,radixheap,4096,0.421958
Long-n,Long-n.13.0.gr,dijkstra,8192,1.50235
Long-n,Long-n.13.0.gr,dial,8192,5.47708
Long-n,Long-n.13.0.gr,radixheap,8192,0.592746
Long-n,Long-n.14.0.gr,dijkstra,16384,1.28727
Long-n,Long-n.14.0.gr,dial,16384,9.01394
Long-n,Long-n.14.0.gr,radixheap,16384,1.56756
Long-n,Long-n.15.0.gr,dijkstra,32768,1.84666
Long-n,Long-n.15.0.gr,dial,32768,32.0126
Long-n,Long-n.15.0.gr,radixheap,32768,2.44714
Long-n,Long-n.16.0.gr,dijkstra,65536,3.81652
Long-n,Long-n.16.0.gr,dial,65536,135.55
Long-n,Long-n.16.0.gr,radixheap,65536,5.65942
Long-n,Long-n.17.0.gr,dijkstra,131072,8.14951
Long-n,Long-n.17.0.gr,dial,131072,498.176
Long-n,Long-n.17.0.gr,radixheap,131072,11.2685
Long-n,Long-n.18.0.gr,dijkstra,262144,17.0601
Long-n,Long-n.18.0.gr,dial,262144,2101.61
Long-n,Long-n.18.0.gr,radixheap,262144,25.3218
Long-n,Long-n.19.0.gr,dijkstra,524288,44.7608
Long-n,Long-n.19.0.gr,dial,524288,8419.82
Long-n,Long-n.19.0.gr,radixheap,524288,49.0142
Long-n,Long-n.20.0.gr,dijkstra,1048576,105.045
Long-n,Long-n.20.0.gr,dial,1048576,32085.9
