k,time_ek,time_dinic
1,8.666666666666666e-7,2.1333333333333334e-6
2,1.0666666666666667e-6,7.666666666666667e-7
3,1.9333333333333336e-6,1.1666666666666666e-6
4,5.3e-6,2.9666666666666665e-6
5,1.6100000000000002e-5,5.166666666666667e-6
6,3.756666666666667e-5,6.5e-6
7,0.00022423333333333335,1.6133333333333334e-5
8,0.0005656666666666667,2.7466666666666666e-5
9,0.0026418666666666664,7.71e-5
10,0.0079162,0.0001755
11,0.045176266666666666,0.0003095
12,0.20006496666666665,0.00043216666666666664
13,0.7301413333333334,0.0018003333333333335
14,3.4706846,0.006986433333333333
15,23.022255366666666,0.054251233333333336
16,116.58860736666668,0.07704276666666666
