k,avg_max_flow,avg_paths,avg_time
1,1.8,1.0,3.46e-6
2,3.8,2.0,2.48e-6
3,8.6,4.6,4.139999999999999e-6
4,27.2,12.4,8.2e-6
5,64.0,25.4,1.9060000000000004e-5
6,149.2,43.2,5.3439999999999997e-5
7,368.6,87.4,0.00018126
8,944.6,156.4,0.0006624199999999999
9,1843.2,246.4,0.00206002
10,4341.6,400.0,0.00877678
11,10246.8,745.2,0.03921014
12,22852.0,1133.4,0.16926918000000002
13,45081.6,1711.2,0.7016424600000001
14,97820.2,2514.6,3.1889755200000005
15,225779.4,4431.8,19.033404679999997
16,430079.2,5715.2,55.105482519999995
