k,i,avg_matching,avg_time
3,1,4.4,3.4799999999999997e-6
3,2,7.0,3.910000000000001e-6
3,3,7.9,4.329999999999999e-6
4,1,10.2,4.9e-6
4,2,13.9,8.25e-6
4,3,15.6,1.1269999999999999e-5
4,4,16.0,1.271e-5
5,1,20.3,1.2570000000000002e-5
5,2,27.3,2.214e-5
5,3,30.2,3.2840000000000004e-5
5,4,31.3,3.859e-5
5,5,31.8,4.502e-5
6,1,40.9,3.169e-5
6,2,54.7,5.694999999999999e-5
6,3,60.3,8.871000000000001e-5
6,4,62.6,0.00011216000000000001
6,5,63.5,0.00014827000000000002
6,6,63.8,0.00015755
7,1,81.8,0.00015439999999999999
7,2,108.3,0.00034289000000000005
7,3,120.7,0.00041972
7,4,125.8,0.00056882
7,5,127.4,0.00064358
7,6,127.4,0.0007224499999999999
7,7,128.0,0.00212989
8,1,164.4,0.00049566
8,2,214.5,0.00098429
8,3,240.9,0.0036875300000000005
8,4,250.8,0.0015015299999999996
8,5,254.0,0.01515302
8,6,255.5,0.00212427
8,7,255.8,0.00231395
8,8,255.9,0.00272826
9,1,322.4,0.00247172
9,2,427.8,0.00428377
9,3,479.9,0.0055718799999999995
9,4,501.8,0.006837500000000001
9,5,508.5,0.00826793
9,6,510.6,0.010148790000000001
9,7,511.3,0.01201285
9,8,511.7,0.012656879999999999
9,9,512.0,0.01389304
10,1,643.4,0.00852703
10,2,859.1,0.016179270000000003
10,3,964.8,0.02714995
10,4,1004.8,0.04990644
10,5,1018.2,0.04535787
10,6,1020.5,0.04822806
10,7,1023.0,0.07362561999999999
10,8,1023.8,0.06802891
10,9,1023.8,0.10154296
10,10,1023.8,0.08516278
